emg,activity,calories,protein,carbs,water,recommendation
100,rest,140,40,150,2,Increase calorie intake and light meals
120,rest,150,42,155,2,Maintain basic nutrition and hydration
150,rest,160,45,160,2,Light diet with balanced nutrients
180,rest,170,48,165,2.1,Add fruits and protein snacks
200,low,200,55,180,2.2,Increase protein intake slightly
230,low,220,60,190,2.3,Balanced diet with more carbs
260,low,240,65,200,2.3,Add energy-rich foods
290,low,260,70,210,2.4,Moderate protein and carbs intake
300,moderate,280,75,220,2.5,Balanced diet with proteins and vegetables
330,moderate,300,80,230,2.5,Include protein-rich foods
360,moderate,320,85,240,2.6,Maintain balanced diet and hydration
390,moderate,340,90,250,2.6,Add lean protein and whole grains
420,moderate,360,95,260,2.7,Increase protein intake moderately
450,moderate,380,100,270,2.8,Protein + carb balanced diet
480,moderate,400,105,280,2.8,Add healthy fats and protein
500,intense,420,110,290,3,High protein diet with hydration
530,intense,450,115,300,3.1,Increase protein and electrolyte intake
560,intense,480,120,310,3.1,High protein and carb intake
590,intense,500,125,320,3.2,Post-workout recovery meals needed
620,intense,530,130,330,3.2,Add protein shakes and hydration
650,intense,560,135,340,3.3,High protein with recovery foods
680,intense,580,140,350,3.3,Include muscle recovery diet
710,intense,600,145,360,3.4,Hydration + protein rich diet
740,intense,630,150,370,3.4,Post workout nutrition required
770,intense,650,155,380,3.5,Increase calorie and protein intake
800,intense,680,160,390,3.6,High calorie muscle recovery diet
830,intense,700,165,400,3.6,Protein heavy diet with hydration
860,intense,720,170,410,3.7,Include electrolytes and protein
890,intense,740,175,420,3.7,Muscle gain focused diet
920,intense,760,180,430,3.8,High protein + carb loading
950,intense,780,185,440,4,Recovery and hydration essential
980,intense,800,190,450,4,High protein recovery meals
1000,intense,820,200,470,4.2,Maximum recovery diet with hydration
